1,Feature 1 : Menu Operation
1.1,Function 1.1 : View Homepage
1.2,Function 1.2 : View Service & Combo List
1.3,Function 1.3 : Search Service & Combo By Parameter
1.4,Function 1.4 : View Service Details
1.5,Function 1.5 : View Combo Details
1.6,Function 1.6 : View News Details
1.7,Function 1.7 : View Product List
1.8,Function 1.8 : Search Product By Parameter
1.9,Function 1.9 : View Product Details
1.1,Function 1.10 : Job Application
2,Feature 2 : Authentication
2.1,Function 2.1 : Login
2.2,Function 2.2 : Register Account
2.3,Function 2.3 : Recover Password
2.4,Function 2.4 : Change Password
2.5,Function 2.5 : Verify Account With Phone Number
3,Feature 3 : Profile Management
3.1,Function 3.1 : View Profile
3.2,Function 3.2 : Edit Profile
3.3,Function 3.3 : View Loyalty Level
3.4,Function 3.4 : View Appointment History
3.5,Function 3.5 : View Work Performance Statistics
3.6,Function 3.6 : Logout
4,Feature 4 : Appointment Registration Management
4.1,Function 4.1 : Create Registration Request
4.2,Function 4.2 : Confirm Registration Request
4.3,Function 4.3 : Decline Registration Request
4.4,Function 4.4 : View Registration List
4.5,Function 4.6 : View Registration Details
4.6,Function 4.6 : Edit Registration Details
5,Feature 5 : Cart Operation
5.1,Function 5.1 : View Cart
5.2,Function 5.2 : Add Product To Cart
5.3,Function 5.3 : Remove Product From Cart
5.4,Function 5.4 : Adjust In-cart Product Amount
5.5,Function 5.5 : Place Order
5.6,Function 5.6 : Select Payment Method
5.7,Function 5.7 : Order Payment Through Bank Transfer
5.8,Function 5.8 : Cash On Delivery
5.9,Function 5.9 : Preorder
5.1,Function 5.10 : Add Delivery Info
6,Feature 6 : Order Management
6.1,Function 6.1 : View Order History
6.2,Function 6.2 : View Order Details
6.3,Function 6.3 : Cancel Order
6.4,Function 6.4 : Update Order Status
7,Feature 7 : Manage Customer Appointment
7.1,Function 7.1 : View Booked Appointments
7.2,Function 7.2 : Update Appointment Details
7.3,Function 7.3 : Add After Service Image
8,Feature 8 : Payment & Invoice
8.1,Function 8.1 : Record Cash Payment
8.2,Function 8.2 : Create QR For Bank Transfer
8.3,Function 8.3 : Record Bank Transfer Payment
8.4,Function 8.4 : Generate Invoice
9,Feature 9 : Loyal Customer Program
9.1,Function 9.1 : Credit Loyalty Points After Payment
9.2,Function 9.2 : View Loyal Customer List
9.3,Function 9.3 : Search And Filter Loyal Customer
10,Feature 10 : Account Management
10.1,Function 10.1 : View Accounts List
10.2,Function 10.2 : Create Account
10.3,Function 10.3 : View Account Details
10.4,Function 10.4 : Edit Account Details
10.5,Function 10.5 : Search And Filter Account By Parameter
11,Feature 11 : Staff Management
11.1,Function 11.1 : Track Staff Attendance
11.2,Function 11.2 : Assign Work Shift
11.3,Function 11.3 : View Work Schedule
11.4,Function 11.4 : Edit Work Shift Assignment
11.5,Function 11.5 : Delete Work Shift Assignment
11.7,Function 11.6: View Work Schedule History
11.5,Function 11.5 : Shift Handover
12,Feature 12 : Supplier Management
12.1,Function 12.1 : View Suppliers List
12.2,Function 12.2 : Create Supplier Record
12.3,Function 12.3 : View Supplier Details
12.4,Function 12.4 : Edit Supplier Details
12.5,Function 12.5 : Request To Delete Supplier
12.6,Function 12.6 : Accept Supplier Deletion Request
12.7,Function 12.7 : Decline Supplier Deletion Request
12.8,Function 12.8 : Search Supplier By Parameter
13,Feature 13 : Service Management
13.1,Function 13.1 : View Services List
13.2,Function 13.2 : Create Service
13.3,Function 13.3 : Edit Service Details
13.4,Function 13.4 : Request to Delete Service
13.5,Function 13.5 : Accept Service Deletion Request
13.6,Function 13.6 : Decline Service Deletion Request
14,Feature 14 : Job Posting Management
14.1,Function 14.1 : View Candidate List
14.2,Function 14.2 : View Candidate Details
14.3,Function 14.3 : Create Job Posting
14.4,Function 14.4 : Edit Job Posting Details
14.5,Function 14.5 : Delete Job Posting
15,Feature 15 : Invoice Management
15.1,Function 15.1 : Request to Create Purchase Invoice
15.2,Function 15.2 : Approve Invoice Purchase Request
15.3,Function 15.3 : Reject Invoice Purchase Request
15.4,Function 15.4 : Edit Invoice Status
15.5,Function 15.5 : Search Invoice By Parameter
15.6,Function 15.6 : View Invoice List
15.7,Function 15.7 : View Invoice Detail
16,Feature 16 : Manage Promotions & Vouchers
16.1,Function 16.1 : Create Promotion
16.2,Function 16.2 : Edit Promotion Details
16.3,Function 16.3 : Delete Promotion
16.4,Function 16.4 : View Promotions List
16.5,Function 16.5 : Create Voucher
16.6,Function 16.6 : Edit Voucher Details
16.7,Function 16.7 : Delete Voucher
16.8,Function 16.8 : View Voucher List
16.9,Function 16.9 : Search Voucher By Parameter
17,Feature 17 : Notifications
17.1,Function 17.1 : Send Reminders And Notifications Through External Channel
18,Feature 18 : Map
18.1,Function 18.1 : Show Salon Location On Interactive Map
19,Feature 19 : Feedback System
19.1,Function 19.1 : Rate The Appointment
19.2,Function 19.2 : Create Service/Product Review
19.3,Function 19.3 : Delete Service/Product  Review
20,Feature 20 : Chat / Communication
20.1,Function 20.1 : Contact Support Through External Channel
21,Feature 21 : Inventory & Product Management
21.1,Function 21.1 : Create Product
21.2,Function 21.2 : Request To Edit Product
21.3,Function 21.3 : Accept Product Edit Request
21.4,Function 21.4 : Decline Edit Request
21.5,Function 21.5 : Request To Delete Product
21.6,Function 21.6 : Accept Product Deletion Request
21.7,Function 21.7 : Decline Product Deletion Request
21.8,Function 21.8 : Search Product By Parameter
21.9,Function 21.9 : Log Product Details Changes
22,Feature 22 : Salon Reports
22.1,Function 22.1 : View Financial Report
22.2,Function 22.2 : View Supplier Report
22.3,Function 22.3 : View Satisfaction Report
22.4,Function 22.4 : View Staff Performance Report
22.5,Function 22.5 : View Sales Report
22.6,Function 22.6 : Create Expense Report
23,Feature 23 : Payroll Management
23.1,Function 23.1 : Record Staff Commission
23.2,Function 23.2 : View Staff Payroll
23.3,Function 23.3 : View Payroll Rule
23.4,Function 23.4 : Edit Payroll Rule
23.5,Function 23.5 : Search Staff Payroll